WorkerId,na.pct,n,implausible,plausible,Answer.English,Answer.country,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,HITId,AssignmentStatus,AssignmentId,filler.left,filler.right,diff
A1CEO8RFPXMO5W,0,54,4.625,6.125,yes,USA,"When I was younger, I would go to school and work","It's raining tomorrow, so will be hard",456,nothing,3WGCNLZJKF8J2HSTXEXGNDZQ03B1DY,Approved,39GHHAVOMFRFJMNXKU7UDTWS2MOJ4Z,7,1,1.5
A1CMWA0L8FTSXA,0,54,1.625,6.375,yes,USA,"When I was younger, I would go to school and eat snacks with the other students.","It's raining tomorrow, so I'm going to bring an umbrella.",2993,thank you,3M47JKRKCX12S8XZMCYHWHC6XNU68V,Approved,3OHYZ19UGC58MMUB989QYSZETQWAOM,7,1,4.75
A1E77HZO63E334,0,54,1,7,yes,USA,"When I was younger, I would go to school and learn math and history.","It's raining tomorrow, so I will not go outside.",474,{},3QQUBC64ZEE0EU4ZT1WQERFLJMRNXT,Approved,3S06PH7KSR4LO1QMNG2HCXUCLIH1DQ,7,1,6
A1EDMN0J522ATZ,0,54,2.4,6.7,yes,USA,"When I was younger, I would go to school and smoke in the bathroom.","It's raining tomorrow, so I will study.",568,Nice.,3JMNNNO3B14P08AGXD2KKKYGZPV2WP,Approved,3J2UYBXQQLCMW3QPHAQ3SM1AZ4Q602,6,1,4.3
A1ESLDCYJIENVI,0,54,3,5.875,yes,USA,"When I was younger, I would go to school and do my schoolwork.","It's raining tomorrow, so I'll stay inside.",3180,{},3XH7ZM9YX2UVSWETJS7T78YDDGPR92,Approved,3FTOP5WARFOYKY5W1TKS1Q6FLA8J0J,7,1,2.875
A1EUBMQ86K32XE,0,54,2.625,4.5,yes,USA,"When I was younger, I would go to school and learn something new.","It's raining tomorrow, so I'll take my umbrella.",860,fun,3ZURAPD288NG016POKS6BD2BCGR1F9,Approved,3JPSL1DZ5SZQ41UZ8T9DJ3Z93GRAN7,7,1,1.875
A1F2APQMJSQVFK,0,54,2.5,5.375,yes,USA,"When I was younger, I would go to school and meet up with my friends","It's raining tomorrow, so i am not sure i will be coming",1599,{},39O0SQZVJN7REDQ04V99TC77IQ1R7Q,Approved,3FFJ6VRIL1O2PNLQJBZSPPRF8VL0IQ,7,1,2.875
A1FBI9CPTNYMMR,0,54,1.4,6.4,yes,USA,"When I was younger, I would go to school and listen to my teachers.","It's raining tomorrow, so I will just stay inside.",909,{},35U0MRQMUJ7QSQZGU1VL5VI5TLOVOD,Approved,3LKC68YZ3A35TZXEAD5IGHW5L9ZOWB,7,1,5
A1FKRZKU1H9YFC,0,54,1.125,6.375,yes,USA,"When I was younger, I would go to school and read many books.","It's raining tomorrow, so I will stay inside.",234,{},32CXT5U14G3NUJN0IUWKCNQM09C8UZ,Approved,3ZOTGHDK5IBCMIG5Q8VHJSTKFW1OSU,7,1,5.25
A1FR4S8V4MNRVM,0,54,3.875,6.375,yes,USA,"When I was younger, I would go to school and to make a new friend.","It's raining tomorrow, so expect to school leave",3336,GOOD,33TGB4G0LPHY979JQXI2NQLD84DXT4,Approved,3LKC68YZ3A35TZXEAD5IGHW5L9XOW9,7,1,2.5
A1FULFCTOFA4L8,0,54,1.5,6,,,"When I was younger, I would go to school and spend time in library.","It's raining tomorrow, so come with umbrella without fail.",2298,{},38O9DZ0A62NR6TVA6VPGMQZ3BN262S,Approved,3GU1KF0O4I1VQWB4UMM1I3OALDBBPX,7,6,4.5
A1FXJNN3XFZJ5S,0.009259259,108,6.0625,6.133333333,yes,USA,"When I was younger, I would go to school and home","It's raining tomorrow, so today ?",354,good,3I4E7AFQ2KZXEN4U9T31WHDYX6YTJC,Approved,3WYP994K17RJTYMAPI1CKEVUBH36Y1,7,1,0.070833333
A1FXJNN3XFZJ5S,0.009259259,108,6.0625,6.133333333,yes,USA,"When I was younger, I would go to school and home","It's raining tomorrow, so today ?",830,good,341H3G5YF0EMYTC7TDID00ZJJTF0ZT,Approved,3NPFYT4IZC4WQML6WZOWDR1A3PCGX7,7,1,0.070833333
A1G38F99VKAPRI,0,54,4.4,5.5,yes,USA,"When I was younger, I would go to school and acquire more knowledge and also I have earned many friends.","It's raining tomorrow, so please don't go out and be prepared for everything.",1317,It was a meaningful one.,3HEM8MA6H9CG8IF0N2EQO8ONMY5QPV,Approved,3WR9XG3T63BMZRMVJLIXA3RJBRQ47F,7,1,1.1
A1GA3IAD4UFXG9,0,54,5.7,5.4,yes,USA,"When I was younger, I would go to school and studying very well. Enjoying with my friends.","It's raining tomorrow, so be carefully to go outside.",627,{},35YHTYFL1G3WMDMNVYCVI19R1KXVFR,Approved,3HVVDCPGTESPVWXMLV95VON8VPDYT3,7,1,-0.3
A1GK1QN27VJGCW,0,54,4.375,4.875,yes,USA,"When I was younger, I would go to school and home, playing ground and Family.","It's raining tomorrow, so Going Tour for family and friends.",1883,This survey was very satisfied.,3XEDXEGFX3OR9YDLTCF3DLB6FK20K7,Approved,33C7UALJVLY976UV68R1Q5GBARK81R,7,1,0.5
A1GTYHV8OYQQLV,0,54,1,6.75,yes,USA,"When I was younger, I would go to school and see all my friends.","It's raining tomorrow, so we are likely to get wet when we go outside.",1304,{},363A7XIFV4M1QM5FKIQ340Y044KVAE,Approved,37UQDCYH6XVLT45A3HJKJTRWOBMV7H,7,1,5.75
A1IFIK8J49WBER,0,54,1,6.6,yes,USA,"When I was younger, I would go to school and work hard in class.","It's raining tomorrow, so we have to cancel our picnic.",2172,{},371DNNCG4428U68BIP6A7R4KHV4T8S,Approved,33CUSNVVNNCRI6EG5T0G5F3JOXQ88B,7,1,5.6
A1IS0218RVG60K,0,54,1.2,6.5,yes,USA,"When I was younger, I would go to school and talk with my friends.","It's raining tomorrow, so make sure to bring an umbrella.",2410,{},3YO4AH2FPDKDK1BG6HZ097NFEQU0QZ,Approved,3JV9LGBJWTE9WD7EV810UEAHRL7OGA,7,1,5.3
A1K8VUKRL53OX,0.018518519,54,3.428571429,4.75,yes,USA,"When I was younger, I would go to school and play football","It's raining tomorrow, so I will not go to the mall",2784,none,3TZ0XG8CBUKPARZXKJ1TGR38NO2989,Approved,308Q0PEVB8DKLH93J7ILI0S8BZD9I9,7,1,1.321428571
A1KGCOR8OXYR72,0,54,2.25,6.625,yes,USA,"When I was younger, I would go to school and hang out with my friends.","It's raining tomorrow, so I cancelled my plans to go hiking.",2229,{},386659BNTLHP3XRZL29L86F76E2105,Approved,39OWYR0EPKRFCRFLQB4GEK874G7YFX,7,1,4.375
A1KLAGM9CCOFBN,0,54,1.625,5.375,yes,USA,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so no after school work.",2435,{},38VTL6WC4ADLOAO3UXM63OM8U7M5YS,Approved,3BF51CHDTVA2TSA6DTH7PDQ08I4H0C,4,1,3.75
A1KOBLL83SICGQ,0,54,3.4,6.6,,,"When I was younger, I would go to school and also go to church to warship God","It's raining tomorrow, so I will need to prepare myself against it",2549,Very educating and knowledgeable project.,3TLFH2L6Y9OX8R6M28X9X0RHVVD2TZ,Approved,33L7PJKHCGYAGQ648RBBWBZ62AB8T0,7,1,3.2
A1LW7S3NBOSJPA,0.018518519,54,6.25,6.375,yes,USA,"When I was younger, I would go to school and kids","It's raining tomorrow, so leave",306,thanks,3HY86PZXPYIOUN6TT980TVHB0FC1ER,Approved,3CPLWGV3MOZCZIKUGNVDN8OPXY79NP,7,1,0.125
A1M24593XO5Z3C,0,54,1.125,5.375,yes,USA,"When I was younger, I would go to school and learn about history.","It's raining tomorrow, so I will spend the day inside.",3439,{},389A2A304OI9Q01X1ZY5P2YYABT0CU,Approved,339ANSOTR5242DSUN49A896OMTPIKC,7,1,4.25
A1MMLN9XGYXF7M,0.055555556,54,2.375,6.285714286,yes,USA,"When I was younger, I would go to school and i play happily","It's raining tomorrow, so i won't go anywhere",1104,{},3KTZHH2ONIF4HBIR9S5YLD9SNN98M7,Approved,3KB8R4ZV1E7PDJI5R3WEOUAIKMOBGT,7,1,3.910714286
A1MWYO3RFZW051,0,54,1.6,5,yes,USA,"When I was younger, I would go to school and face my studies","It's raining tomorrow, so the weather will be so cold",1528,none,3I6NF2WGIGWL2J330R00WOF4PBW5GU,Approved,38SKSKU7R1XFMJAC84LBN9J3BTUILF,7,7,3.4
A1NLW5ZS2WQR35,0,54,1.75,7,yes,USA,"When I was younger, I would go to school and play with my friends at recess.","It's raining tomorrow, so I won't be doing any yard work.",610,{},3XU9MCX6VOCKSCTUYJSEXLQZ7AG2RM,Approved,3TUI152ZZBNFDAURS281CW1B4X7Q1L,7,1,5.25
A1NRWXWPCAXDYP,0,54,1.7,6.7,yes,USA,"When I was younger, I would go to school and try my best to learn.","It's raining tomorrow, so I will plan to bring an umbrella.",1230,{},3CO05SML7V5DW2QGJWO0EXXKACW0R0,Approved,3X08E93BHVIHAEC4JZ6K1NB1C7C663,7,1,5
A1OM5NWYYYJKQW,0,54,2.625,7,yes,USA,"When I was younger, I would go to school and lose my lunch bag.","It's raining tomorrow, so I will take the fireplace ashes out",2212,I appreciate the dark font/ text,3VGET1QSZ0ZWM97M3PJFGBFOA5GW7Y,Approved,324G5B4FB385034U0KVVY016UF8700,7,1,4.375
A1OW27AZS122X2,0,54,2,3.875,yes,USA,"When I was younger, I would go to school and learned how to play guitar.","It's raining tomorrow, so I will stay home.",1420,None,3538U0YQ1FUCA4K4BO6PZ6H8A053F3,Approved,3F6KKYWMNB1O28XBS30F947FOJODNC,7,1,1.875
A1P0XSCJ9XAV74,0,54,1.1,6.8,yes,USA,"When I was younger, I would go to school and play on the slide.","It's raining tomorrow, so I can't go swimming.",1916,{},302U8RURJZ18A5Z4TMV8Q6I03BJVNY,Approved,3S3AMIZX3U55B40K3DR1TTD3PF8DCS,7,1,5.7
A1PF01FF85HUY4,0,54,1.625,7,yes,USA,"When I was younger, I would go to school and study all day long.","It's raining tomorrow, so I better pack an umbrella.",669,{},3E24UO25QZQ5D0KFTTNDT326CSXO6F,Approved,3KAKFY4PGU2Y6FKN2YHBRNPMB75I33,7,1,5.375
A1PJLZSOUQ4MIL,0,54,2.7,7,yes,USA,"When I was younger, I would go to school and count the hours until school was over.","It's raining tomorrow, so I hope I can find my umbrella.",2788,{},3P7QK0GJ3TLTU3FL80MRJOSYGRZ2ZF,Approved,3J2UYBXQQLCMW3QPHAQ3SM1AZ4O600,7,1,4.3
A1PMZUBGXFANCI,0,54,1.75,6.25,yes,USA,"When I was younger, I would go to school and spend my time learning.","It's raining tomorrow, so I will not go outside.",584,{},3E9VAUV7BWEIUG0KPTDNBZ2UMLMYAQ,Approved,3XC1O3LBOSM5VXQN2GKF1GLCMAALTZ,7,1,4.5
A1PR74OHURJNTO,0,54,1,6.375,yes,USA,"When I was younger, I would go to school and read many books about history.","It's raining tomorrow, so I am going to stay at home.",2782,{},3E9ZFLPWOYS80TT8WLJY9JJ4XNXXIN,Approved,3X66WABAJWIKAOESCAH86BC6WUBG37,7,1,5.375
A1PTH9KTRO06EG,0,54,1.375,7,yes,USA,"When I was younger, I would go to school and spend time with friends.","It's raining tomorrow, so better bring my jacket.",315,{},3IVEC1GSLPZW53SL7AJRQBU35N7J1T,Approved,3YDTZAI2WXG8O57TU51O9T0685O41G,7,1,5.625
A1QJ2VPPZG16EG,0,54,1.75,7,yes,USA,"When I was younger, I would go to school and pay attention to the teacher.","It's raining tomorrow, so I will be sure to take an umbrella to school.",2036,None,3FBEFUUYRK5GBWQEJAIVS8I1NBU6AZ,Approved,3DPNQGW4LLF3VR8Q0BD54PRNGG446E,7,1,5.25
A1R0HUJFW46OV9,0,54,2.75,4,yes,USA,"When I was younger, I would go  school  and park","It's raining , so cold",1454,{},30ZKOOGW2W6L4APHD46EXCRKF0E1AW,Approved,3ZV9H2YQQD7G7A4SRFLQSEYUQI2W3N,7,1,1.25
A1R1E7TZ9OHFIG,0,54,1.625,6.125,yes,USA,"When I was younger, I would go to school and sleep as others learn.","It's raining tomorrow, so I won't attend the wedding.",1362,No comment,33QQ60S6ASI5CUIXNQJ5J8K4HB00U4,Approved,3570Y55XZPJLQRBG1VAYW58J5V7YGW,7,1,4.5
A1R780RJYQ68GY,0.018518519,54,3.625,5.875,yes,USA,"When I was younger, I would go to school and to earn myself a good grade in all my course work","It's raining tomorrow, so I will need an umbrella",642,{},33QQ60S6ASI5CUIXNQJ5J8K4HBZU0X,Approved,3PS7W85Z8Z2AUVPEDJHPW7UHMGT9TQ,7,1,2.25
A1R8A8BK2VN7RH,0,54,1,6.625,yes,USA,"When I was younger, I would go to school and pay attention to the teacher.","It's raining tomorrow, so I will bring an umbrella.",936,{},3QTFNPMJC6IPJP4EUJKBBCVWRMPNZQ,Approved,3YDGXNSEOZUQZ5RETQA3O3NEMBU480,7,1,5.625
A1ROEDVMTO9Y3X,0,54,1.4,6.7,yes,USA,"When I was younger, I would go to school and study real hard","It's raining tomorrow, so I will bring my umbrella",503,{},374UMBUHN5PA69YOZ1MF9D037MPTCY,Approved,3QXNC7EIPIV9EMSNFHTFCWSCP5W90E,7,1,5.3
A1S8IXHQWRIE5D,0,54,4.375,4.625,yes,USA,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so we stop our works.",1914,good,3TZDZ3Y0JS67ZRFCLYSE1HG09IW91P,Approved,3OXV7EAXLEQIDVPM0X8MUKZH2GA63X,7,1,0.25
A1SM9F49V7EZ5Y,0.018518519,54,4.571428571,4.75,yes,USA,"When I was younger, I would go to school and study well all subjects.","It's raining tomorrow, so i want leave",1902,{},3EKTG13IZU3ZWI2A3HE2QIVY7N7LM5,Approved,3IQ1VMJRYTK5FZQ57JQ8124PYRB9A8,7,1,0.178571429
A1SOFLJOEQB591,0.009259259,108,1.375,6.25,yes,USA,"When I was younger, I would go to school and learn as much as I could.","It's raining tomorrow, so I need to pack my raincoat and umbrella.",675,na,3MJ28H2Y1E89UWK1OAD81XO6GXMO5Z,Approved,31JLPPHS2UU821VQ0TUGBKL8NG23OH,7,1,4.875
A1SOFLJOEQB591,0.009259259,108,1.375,6.25,yes,USA,"When I was younger, I would go to school and read lots of books.","It's raining tomorrow, so I'm going to cancel my golf game.",2627,{},33EEIIWHK77TD2CW9ENPU0D58M6QVG,Approved,30X31N5D63QNKEM4GPQZIX9FQFXASH,7,1,4.875
A1SP4XA17LVUQI,0,54,1.25,6.75,yes,USA,"When I was younger, I would go to school and ride the bus home.","It's raining tomorrow, so I should probably put the car in the garage.",496,{},3BFNCI9LYKQZVB5YT58DBE4RCCM37Z,Approved,3OS4RQUCR9FJZJMAGJQW69A6J7OBFU,7,1,5.5
A1T643M1P572AA,0,54,2.625,6.25,yes,USA,"When I was younger, I would go to school and learn about english lessons","It's raining tomorrow, so i will take an umbrella with me",1319,{},33BFF6QPI1BELQ6Z1DGP3U3853UW3T,Approved,3WQQ9FUS6AUAK4CN85KQWHTKW3D8BC,7,1,3.625
A1TARNH07A75CG,0,54,2.375,5.875,yes,USA,"When I was younger, I would go to school and sit in the back of the class","It's raining tomorrow, so I should wear my rain coat",1744,{},3L2OEKSTW9A4BS75SVT9F8WZWXMY8M,Approved,30BUDKLTXDVP4P55KYFDL5PEXANE5E,7,1,3.5
A1TEXCUTI4IUUN,0.018518519,54,2.25,6.375,yes,USA,"When I was younger, I would go to school and I studied with my friends and learned new things.","It's raining tomorrow, so Iâ€™ll stay in my house and make hot chocolate.",1874,"I really liked the hit, itâ€™s very interesting. I just didnâ€™t understand what they were saying about the code that had to be placed at the end.",3D42WVSDH8VDQ7HS09ZFP0DLJ1ZYF3,Approved,3IHR8NYAM71B5XQVF7CEAPI4BLUP45,7,1,4.125
A1TPGXT718D68E,0.018518519,54,1.6,7,yes,USA,"When I was younger, I would go to school and be nice to other people.","It's raining tomorrow, so I should wear long pants.",770,{},31HLTCK4BLV20DII6IID0M932ZXVGQ,Approved,33C7UALJVLY976UV68R1Q5GBARM18M,7,1,5.4
A1TW2BZRRS874Z,0,54,1,6.625,yes,USA,"When I was younger, I would go to school and learn something new everyday.","It's raining tomorrow, so I will stay inside.",2322,{},3JGHED38EDR0BE2MIQ131804LDGY7Z,Approved,3IRIK4HM3AK6QVL5TQJNNN3B8TLC6Z,7,1,5.625
A1TXNNM9JRHKBG,0,54,4.5,4.25,yes,USA,"When I was younger, I would go to school and i have to play","It's raining tomorrow, so i will not go outside",262,{},3GL25Y6843UUWCJZH0HQ1CQLEWHXM3,Approved,3SITXWYCNV90Z5DVGDWICGADNCKBXL,7,1,-0.25
A1U3TT3VMH9FU9,0.018518519,54,1.125,4.75,yes,USA,"When I was younger, I would go to school and listen attentively to my teacher.","It's raining tomorrow, so I am getting my umbrella so I don't get wet.",744,{},3VAOOVPI3ZSFQ0KP35DNQ5G97IHLL3,Approved,3NVC2EB65QZKWFZS6G3EDBJA1Q13YS,7,6,3.625
A1UY2W2FL9CWN,0,54,1,6.5,yes,USA,"When I was younger, I would go to school and play with my friends on the playground at recess.","It's raining tomorrow, so I won't be able to cut the grass then.",1048,{},38LRF35D5LW1TMHU6D1OL6IBKNJU3S,Approved,3483FV8BEEJTSDT3WXUHBAUPW2B26J,7,1,5.5
A1UZXOMO6BS6I2,0,54,1.125,6.875,yes,USA,"When I was younger, I would go to school and pay attention in class.","It's raining tomorrow, so I will bring an umbrella with me.",1557,{},3TZDZ3Y0JS67ZRFCLYSE1HG09IW19H,Approved,3HHRAGRYX85UH3K6H2VQ2XOUN8C9O4,7,1,5.75
A1V1JNPU0KOA3X,0,54,1.25,6.375,yes,USA,"When I was younger, I would go to school and eagerly study historical events.","It's raining tomorrow, so I will carry my umbrella when I go out.",2155,{},39N6W9XWRDNJ47DNBT5X7LDXKGZYG2,Approved,32XVDSJFPZXVHGEVJD1Y06RBM2NM2A,7,1,5.125
