WorkerId,HITId,Answer.proficiency1,Answer.proficiency2,proficiency_check_passed
A11W7R2O4RQSSS,3TTPFEFXCTKVLJYSPGSN9U55Z4UH6Q,"When I was younger, I would go to school and learn about a variety of subjects","It's raining tomorrow, so we should stay inside and bake brownies",yes
A11YS0T8MV3Q7C,37AQKJ12TXORSQ0ZLNH5YN07V8PTTH,"When I was younger, I would go to school and learn more than one subject.","It's raining tomorrow, so I need to make sure my windows are closed.",yes
A11YS0T8MV3Q7C,3I7KR83SNAD95S1YT8YW6WCZHM6K98,"When I was younger, I would go to school and learn many different subjects.","It's raining tomorrow, so I need to wear a raincoat.",yes
A122LRCSBAD6DC,3CVDZS288H0DWQSEH6B4V5QE9PWMF7,"When I was younger, I would go to school and sit in class and learn.","It's raining tomorrow, so I will bring my umbrella and raincoat with me before going outside.",yes
A122LRCSBAD6DC,3D17ECOUOEVLKPQW4PR4A4DE9QM130,"When I was younger, I would go to school and complete my assignments in class.","It's raining tomorrow, so I will bring an umbrella with me.",yes
A12FCLCVIM2CL3,36BTXXLZ2V8UVQ8H2XB2Q0NXQMM4RP,"When I was younger, I would go to school and play with my friends during recess.","It's raining tomorrow, so I'm going to put my umbrella in my car tonight.",yes
A12FTSX85NQ8N9,3OLZC0DJ8JFGW4ODW6IGLYMJHCPVII,"When I was younger, I would go to school and play for as long as I could at recess.","It's raining tomorrow, so remember to bring an umbrella.",yes
A12FTSX85NQ8N9,3PR3LXCWSFZFPS05SRDLWQK1DVL9XM,"When I was younger, I would go to school and talk to every classmate in the room before being sent to detention.","It's raining tomorrow, so I want to wear my rubber boots and bring my umbrella.",yes
A12FTSX85NQ8N9,3ZRKL6Z1E83M8L1ECND8PZPW2TESGO,"When I was younger, I would go to school and take the most detailed notes of anyone in the class.","It's raining tomorrow, so I'm planning on bringing rubber boots.",yes
A12HWPFXQPITHD,3BJKPTD2QCCECBN7HYCAY8ZP7NSTR4,"When I was younger, I would go to school and learn with my friends.","It's raining tomorrow, so I'll use an umbrella.",yes
A12TSLY8GXWHB4,3P6ENY9P79WBE3TTRH1C6XVA8VPHIK,"When I was younger, I would go to school and study math and science.","It's raining tomorrow, so I will wear rain boots and bring an umbrella",yes
A12UTVV3DW7YPX,38EHZ67RIMSJAQO9SQHMDQQQA4WMG6,"When I was younger, I would go to school and studied lot of courses.","It's raining tomorrow, so did not go to my job.",no
A12VDN3TJJCAQQ,3SD15I2WD2UGRBRTAV3L504VH12360,"When I was younger, I would go to school and wait for recess","It's raining tomorrow, so I will stay in and work",yes
A133QG754CGS3I,39TX062QX1OTAQBPBICB5DHFD2AX3Q,"When I was younger, I would go to school and learn science.","It's raining tomorrow, so tomorrow it will be sunny.",yes
A13ASIJ31D76UN,3HFWPF5AK9JLE9PQH86O650NYO9S3G,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",yes
A13FUEPWBCLBUY,3YLPJ8OXX8DESMUTBWHUFI9LR26X4B,"When I was younger, I would go to school and try my best to get perfect grades.","It's raining tomorrow, so I will not be able to go for a run.",yes
A13GUTDMGGZZDL,31GECDVA9JMFOUEBTX1JC3GFRS4669,"When I was younger, I would go to school and study all day.","It's raining tomorrow, so I will drive my car instead of riding my bike.",yes
A13LKWKNDRONU7,3IHWR4LC7DDILSS0OD76TK2B6EP8IR,"When I was younger, I would go to school and I developed my artistic skill and learned a lot.","It's raining tomorrow, so all the school will be closed I think",yes
A13WTEQ06V3B6D,32PT7WK7DMFFCK68KIBZB6ENXLZD37,"When I was younger, I would go to school and study hard to get good grades.","It's raining tomorrow, so I should bring an umbrella with me.",yes
A13YTGRLTS80MU,34R3P23QHS1TFYDYGY5R7O4IN6NHWR,"When I was younger, I would go to school and come back home by school bus.","It's raining tomorrow, so i might fail to go to work.",yes
A143XRCI1YXAFE,3MQY1YVHS3KXC5C52M6OX6LVOMNB2N,"When I was younger, I would go to school and catch up with my friends.","It's raining tomorrow, so I will not be able to walk the dog",yes
A147F5PJTHOB8A,3PIOQ99R7YM8XQA4OWL3UKGHO2LUNE,"When I was younger, I would go to school and learn all sorts of subjects.","It's raining tomorrow, so I will bring my umbrella with me",yes
A149ROBL26JWPJ,3LN3BXKGC0VFF2INWSN9MOSH86AGWR,"When I was younger, I would go to school and take classes in math and science among other things","It's raining tomorrow, so we should probably plan to spend the day inside",yes
A14EYTLSMJRPUK,3W3RSPVVGSRI9Q7JCJ5OHSCSK9ALUX,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I think I will stay inside.",yes
A14LOABUGAITBM,371Q3BEXDH9MZ2WJ2F1XA652DI7ZSH,"When I was younger, I would go to school and learn basic writing and reading for the first two years.","It's raining tomorrow, so i will dress heavy and carry an umbrella.",yes
A14LXHJAWRQWR6,39RRBHZ0AU12RUDNWA62LTP9CM1ZVM,"When I was younger, I would go to school and prank the other kids by pulling out their chairs right before they sat down.","It's raining tomorrow, so I will stay inside and do nothing.",yes
A14QFRGIYIMNHN,33W1NHWFYHLNE29YRF6NKB1OF1LZT6,"When I was younger, I would go to school and STUDY","It's raining tomorrow, sOI cannot go to school",yes
A14SEFVPXYZ9TN,3H781YYV6TIP37I2VSSAZ106RWDETI,"When I was younger, I would go to school and attend all of my classes.","It's raining tomorrow, so I will bring an umbrella with me when I leave the house.",yes
A14Y7FZ3ENKKQ6,3BAWBGQGYLZJ7K7HDFEJU9WA2UP7V5,"When I was younger, I would go to school and study","It's raining tomorrow, so holidaty",no
A15A618QS7DD79,32XN26MTXZJ2T4V3ECR4SLOL3IHL00,"When I was younger, I would go to school and study","It's raining tomorrow, so  I cant school",no
A15A618QS7DD79,3O71U79SRBPM0VX0NQB3249TYFQMSQ,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant school",no
A15T9HDPHV3X7Q,3DZKABX2ZI5PJ12D4WMUAVOO475VCG,"When I was younger, I would go to school and study very hard","It's raining tomorrow, so I will bring my umbrella",yes
A15VCG7KA6V73R,3MIVREZQVHYFXRIKAA9ISR2ORMAKQU,"When I was younger, I wwould go to school and college","It's raining tomorrow, so happy",no
A15XX0WDRG29E7,3VO4XFFP15MR2CB0RGK9OMX2L2A7QB,"When I was younger, I would go to school and learn about many different subjects.","It's raining tomorrow, so I will carry an unbrella.",yes
A166A2M31CW2C7,3Z8UJEJOCZD39UTR826XPAVX72A93H,"When I was younger, I would go to school and talk to friends.","It's raining tomorrow, so I'm going to stay in.",yes
A16TN5X2SAPVCA,371Q3BEXDH9MZ2WJ2F1XA652DI7ZSH,"When I was younger, I would go to school and","It's raining tomorrow, so",no
A16UAN46CNIRHY,31KPKEKW4ADQGV9RNZ2AEISGSQT0BN,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so I will make sure to carry my umbrella.",yes
A16Z9FSSF1X74O,3LCXHSGDLT6OO75N6SNKPW4KPDZEST,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so I will bring my umbrella.",yes
A16Z9FSSF1X74O,3WRKFXQBOB7X0YJI1H50SXQDZTRIYE,"When I was younger, I would go to school and always wanted to sit at the front of the class.","It's raining tomorrow, so I will stay inside and clean the house.",yes
A171RZ3O028XF6,38B7Q9C28G526DG9R44VWD7HHTC96N,"When I was younger, I would go to school and learn about multiple subjects that were interesting to me.","It's raining tomorrow, so I am going to wear a raincoat and bring my umbrella.",yes
A171S8E9IFSHH2,3O71U79SRBPM0VX0NQB3249TYFQMSQ,"When I was younger, I would go to school and become a speech therapist.","It's raining tomorrow, so  I am going to stay in.",yes
A173A97OFDAX9F,3UUIU9GZC55P7OP9KRZ7V7UTF53T5Q,"When I was younger, I would go to school and have lunch with my friends","It's raining tomorrow, so we should cancel the traveling plan",yes
A179LPB3NPSEF8,3AJA9FLWSCYR072NWRDC3CJXSGCFIK,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",yes
A179LPB3NPSEF8,3CVBMEMMXBGEPJCX8QXFF851UFEH7P,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",yes
A17AMTRIYI2Z2D,32XN26MTXZJ2T4V3ECR4SLOL3IHL00,"When I was younger, I would go to school and study in my many classes.","It's raining tomorrow, so I think I'll stay inside and watch some movies.",yes
A17K1CHOI773VZ,3B623HUYJ4Q7F6VWTP1KXM8YEA1S88,"When I was younger, I would go to school and have a lot of fun!","It's raining tomorrow, so I better not forget the umbrella.",yes
A17NFI9O9H25MZ,3I4E7AFQ2KZXEN4U9T31WHDYW49JT8,"When I was younger, I would go to school and play at the basketball court for hours.","It's raining tomorrow, so I'm staying home and not driving out.",yes
A17ZTBC2843EBM,34D9ZRXCYRULYUOBQNLYTDET4Y1ASU,"When I was younger, I would go to school and sleep during homeroom.","It's raining tomorrow, so I will bring my umbrella.",yes
A183WYXN12P2TJ,3Q9SPIIRWJME5B5KASVZQ2HEABXAW9,"When I was younger, I would go to school and study a lot of interesting subjects.","It's raining tomorrow, so I will bring an umbrella.",yes
A18E16UFE351U6,31YWE12TE0CBB9CCDUF1IUTVI4WX7V,"When I was younger, I would go to school and try to learn as much as I could.","It's raining tomorrow, so I hope to stay inside and read all day.",yes
A18LAR2IV3FHF9,3RDTX9JRTY1LADUEAE9N2R7DB2679P,"When I was younger, I would go to school and return home by myself","It's raining tomorrow, so I would need my umbrella",yes
A18SXC3JEN1O0U,3UY4PIS8QRLSOTJ6M8BJJIBKE7D1NG,"When I was younger, I would go to school and listen to my lessons.","It's raining tomorrow, so I'll stay at home.",yes
A18SXC3JEN1O0U,3XEDXEGFX3OR9YDLTCF3DLB6EICK0W,"When I was younger, I would go to school and learn with my classmates.","It's raining tomorrow, so let's do it today.",yes
A18XFOKU5G1OL1,3AQN9REUTFGGSN3W934P10A07OJYDS,"When I was younger, I would go to school and learn new things.","It's raining tomorrow, so dad is off early.",yes
A198MSVO1VTAT5,3P458N04Q1H4P8F67IY6M3CN8R12XI,"When I was younger, I would go to school and study for my tests so that I would get an A.","It's raining tomorrow, so we won't be going on the field trip.",yes
A19DKHN5DUFZJK,33NKDW9FFXIHNQ784BNCYGL9JGOCX6,"When I was younger, I would go to school and play with my friends during recess.","It's raining tomorrow, so I must find my umbrella.",yes
A19LVWX8ZLO6CS,3FVBZG9CLJE078CDNRC60TVEM18H0P,"When I was younger, I would go to school and have conversations with my friends.","It's raining tomorrow, so I will be staying indoors.",yes
A19UBZFVUWL1ES,3NFWQRSHVEED4GWS63D9I06HD3KFGS,"When I was younger, I would go to school and study with my friends.","It's raining tomorrow, so I'll cancel our plans.",yes
A19WXS1CLVLEEX,37YYO3NWHDQTKSWDDFRPK30ZIR7CCX,"When I was younger, I would go to school and learn reading and math.","It's raining tomorrow, so I will take an umbrella.",yes
A19ZWBQT8A3LIR,3QX22DUVOOH2SNE4HLG8DRT0XJKMVV,"When I was younger, I would go to school and talk with all of my friends.","It's raining tomorrow, so I will dress warm and take an umbrella.",yes
A1A7HKFWGH77QH,3RZS0FBRWKACEH5HIKDV43Z6HHFCPI,"When I was younger, I would go to school and play on the playground.","It's raining tomorrow, so you better wear a jacket.",yes
A1AAMCV6OSQFC3,3X55NP42EOGO1H9YPR2UB0VCB42P3X,"When I was younger, I would go to school and learn how to socialize and take instructions from someone.","It's raining tomorrow, so we can't play tennis tomorrow.",yes
A1AL6YXN76OLGW,3VGET1QSZ0ZWM97M3PJFGBFO93R7WF,"When I was younger, I would go to school and tuition.","It's raining tomorrow, so tomorrow plan is cancelled.",no
A1APUWC5IMC5NV,3U18MJKL1UMCBWT425030EUBH2ECNM,"When I was younger, I would go to school and learn everything I could.","It's raining tomorrow, so I better take my umbrella.",yes
A1AYQ8E01NSY5Z,3OYHVNTV5TYCCF54VXHE3M7ODNHOKK,"When I was younger, I would go to school and also visit my close friends.","It's raining tomorrow, so I decided to do my laundry today.",yes
A1AZLJ3R5FQ9B7,3RIHDBQ1NEYXAMJKCWZ4YQ2RP49HM0,"When I was younger, I would go to school and play at recess with my friends.","It's raining tomorrow, so I will be sure and wear my raincoat.",yes
A1BIJGB7XA0GME,3MG8450X2OA80BMH4BYVY9LCOHMUPA,"When I was younger, I would go to school and learn math and spelling.","It's raining tomorrow, so I better wear a rain coat.",yes
A1BNR1ZAF1QGWG,3RWB1RTQDJNA2EF418XQ2H3NRQUP8P,"When I was younger, I would go to school and learn subjects like math and history","It's raining tomorrow, so I should bring my umbrella when walking to work",yes
A1BUNT3VJFLXD0,3XQ4XW3OD9CWTRT7D8SJNVVVSA9S25,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I will wear a raincoat.",yes
A1CE2XPYCDRHVZ,3K3IX1W4S6ROL28JY6H4Y89IHEUAPE,"When I was younger, I would go to school and eat sandwiches for lunch.","It's raining tomorrow, so I will carry an umbrella.",yes
A1CEO8RFPXMO5W,3WGCNLZJKF8J2HSTXEXGNDZQ03B1DY,"When I was younger, I would go to school and work","It's raining tomorrow, so will be hard",no
A1CFPCFL70TG90,3Y7LTZE0YTM2EFONRKWXP7NQYFSZUX,"When I was younger, I would go to school and enjoy the day with friends","It's raining tomorrow, so i won't go out and enjoy the rainy day",yes
A1CMWA0L8FTSXA,3M47JKRKCX12S8XZMCYHWHC6XNU68V,"When I was younger, I would go to school and eat snacks with the other students.","It's raining tomorrow, so I'm going to bring an umbrella.",yes
A1CPY1HLCFTIL1,3VCK0Q0PO5ESH4YOQP7J5DSA8DHN04,"When I was younger, I would go to school and participate in music and games.","It's raining tomorrow, so Remember to carry the umbrella.",yes
A1DCG37N0Y8BN0,3JUDR1D0D6RKGBEUL43ESVGUAMO2QQ,"When I was younger, I would go to school and learn many different things.","It's raining tomorrow, so I will take a nap then.",yes
A1DD23J1WBGQUU,391JB9X4ZY8OCCKSIH21BIIJHLDMK9,"When I was younger, I would go to school and look forward to seeing my friends.","It's raining tomorrow, so I'll be sure to carry my umbrella.",yes
A1DKVUTOBPQH11,3JTPR5MTZSCQ45ZMQILFUG7XVQNK5H,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I'll most likely stay at home.",yes
A1DMXEJGJY02E1,3PUV2Q8SV44KFFALZBQ5TPCZLDCDBY,"When I was younger, I would go to school and listen to my teachers.","It's raining tomorrow, so I will not go outside.",yes
A1DZMZTXWOM9MR,3W0KKJIARR99RNIOOGSI60HOXGOK8J,"When I was younger, I would go to school and play with my friends during recess.","It's raining tomorrow, so I'll be staying inside for the day.",yes
A1E77HZO63E334,3QQUBC64ZEE0EU4ZT1WQERFLJMRNXT,"When I was younger, I would go to school and learn math and history.","It's raining tomorrow, so I will not go outside.",yes
A1E8PIR82KIJEP,3QTFNPMJC6IPJP4EUJKBBCVWQJZZN5,"When I was younger, I would go to school and talk to my teachers.","It's raining tomorrow, so I will not go out.",yes
A1EDMN0J522ATZ,3JMNNNO3B14P08AGXD2KKKYGZPV2WP,"When I was younger, I would go to school and smoke in the bathroom.","It's raining tomorrow, so I will study.",yes
A1ESLDCYJIENVI,3XH7ZM9YX2UVSWETJS7T78YDDGPR92,"When I was younger, I would go to school and do my schoolwork.","It's raining tomorrow, so I'll stay inside.",yes
A1EUBMQ86K32XE,3ZURAPD288NG016POKS6BD2BCGR1F9,"When I was younger, I would go to school and learn something new.","It's raining tomorrow, so I'll take my umbrella.",yes
A1EZVLVKE9AZNM,3RKHNXPHGWW7PKP1RJTN2SZDU7GKUZ,"When I was younger, I would go to school and attend my class","It's raining tomorrow, so i would take leave",yes
A1F2APQMJSQVFK,39O0SQZVJN7REDQ04V99TC77IQ1R7Q,"When I was younger, I would go to school and meet up with my friends","It's raining tomorrow, so i am not sure i will be coming",yes
A1F9KLZGHE9DTA,3N5YJ55YXG3OIHW6IR4CUJ4NHZTNAV,"When I was younger, I would go to school and study as hard as I could.","It's raining tomorrow, so I'd better remember to bring my umbrella.",yes
A1FBI9CPTNYMMR,35U0MRQMUJ7QSQZGU1VL5VI5TLOVOD,"When I was younger, I would go to school and listen to my teachers.","It's raining tomorrow, so I will just stay inside.",yes
A1FKRZKU1H9YFC,32CXT5U14G3NUJN0IUWKCNQM09C8UZ,"When I was younger, I would go to school and read many books.","It's raining tomorrow, so I will stay inside.",yes
A1FKRZKU1H9YFC,335HHSX8CD5U6SD7Z301F0FXGQHHDI,"When I was younger, I would go to school and always be the first one done on work.","It's raining tomorrow, so I will likely stay home and work.",yes
A1FKRZKU1H9YFC,3RKHNXPHGWW7PKP1RJTN2SZDU7GKUZ,"When I was younger, I would go to school and learn many new things.","It's raining tomorrow, so I will likely stay home.",yes
A1FR4S8V4MNRVM,33TGB4G0LPHY979JQXI2NQLD84DXT4,"When I was younger, I would go to school and to make a new friend.","It's raining tomorrow, so expect to school leave",no
A1GTYHV8OYQQLV,363A7XIFV4M1QM5FKIQ340Y044KVAE,"When I was younger, I would go to school and see all my friends.","It's raining tomorrow, so we are likely to get wet when we go outside.",yes
A1H198MRIM37T1,36U4VBVNQODTCO2WH32K34LRPZAUR2,"When I was younger, I would go to school and try to get along with others.","It's raining tomorrow, so I will bring my umbrella.",yes
A1H5M4C4YK2TTT,3IKDQS3DQE0KXVID5PNBV6YUV3KCI6,"When I was younger, I would go to school and to feel nervous and fear because teachers will scold and they give punishments also.","It's raining tomorrow, so i feel warm and enjoy the rainy day",no
A1H6DME332958N,30Y6N4AHYPW7VMRAV8CVT4H33ZFDRB,"When I was younger, I would go to school and play ground with my friends","It's raining tomorrow, so i am not go to the school",no
A1H6DME332958N,35F6NGNVM8J4US3S8KE4TR8P5997TP,"When I was younger, I would go to school and some music class","It's raining tomorrow, so not go to the school and music class",no
A1HVSOJC13XEK1,3MNJFORX8B4FOJ78P7UIE3FSNU6F5A,"When I was younger, I would go to school and attend the class","It's raining tomorrow, so i don't go outside",yes
A1I1QEHJZ9XTKC,3X52SWXE0X52YQ2IU6RQWX72AEICWD,"When I was younger, I would go to school and read many chapter books.","It's raining tomorrow, so I probably will wear boots and bring an umbrella.",yes
A1I72NHC21347A,3JYPJ2TAYI8JHTPR9M3WC9K9EU7PF6,"When I was younger, I would go to school and try to improve my math","It's raining tomorrow, so I need to stay home from the park",yes
A1IC1DQ0QQBOOZ,3SZYX62S5G029QS27OW6QB2BP6N57W,"When I was younger, I would go to school and stady","It's raining tomorrow, so school",no
A1IC1DQ0QQBOOZ,3ZXV7Q5FJBO0N4GN4HHQS9L2FBSFCI,"When I was younger, I would go to school and study","It's raining tomorrow, so school leave",no
A1IFIK8J49WBER,371DNNCG4428U68BIP6A7R4KHV4T8S,"When I was younger, I would go to school and work hard in class.","It's raining tomorrow, so we have to cancel our picnic.",yes
A1IKK576F8WY0N,3L60IFZKF3IBI8I9LZJR6LUV8IAHHR,"When I was younger, I would go to school and learn many new things.","It's raining tomorrow, so I will remember to take my umbrella with me.",yes
A1IL2HYSSL4ZMV,3UEDKCTP9VQ5R9D5EB0CS0LTMWI7KJ,"When I was younger, I would go to school and do my best to pay attention.","It's raining tomorrow, so I don't think I will work in the garden.",yes
A1IS0218RVG60K,3YO4AH2FPDKDK1BG6HZ097NFEQU0QZ,"When I was younger, I would go to school and talk with my friends.","It's raining tomorrow, so make sure to bring an umbrella.",yes
A1JJYY622DGE5L,3GONHBMNHVYJ17JEII5BYX6WLTPZM5,"When I was younger, I would go to school and learn new things.","It's raining tomorrow, so I will take an umbrella.",yes
A1K8QNLYYYX21W,386T3MLZLNV7EXBKKNI0NG2FJII801,"When I was younger, I would go to school and learn about match and science","It's raining tomorrow, so i will not be able to go hiking",yes
A1K8VUKRL53OX,3M0556243SKJE8DET7Q48KFEEF6FN0,"When I was younger, I would go to school and carry some food with me.","It's raining tomorrow, so I will use my heavy jacket.",yes
A1K8VUKRL53OX,3TZ0XG8CBUKPARZXKJ1TGR38NO2989,"When I was younger, I would go to school and play football","It's raining tomorrow, so I will not go to the mall",yes
A1KGCOR8OXYR72,386659BNTLHP3XRZL29L86F76E2105,"When I was younger, I would go to school and hang out with my friends.","It's raining tomorrow, so I cancelled my plans to go hiking.",yes
A1KLAGM9CCOFBN,38VTL6WC4ADLOAO3UXM63OM8U7M5YS,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so no after school work.",yes
A1KWC8TW8ANBQ8,32FESTC2NHQP6MDDZ6CPE9M5PY7CUE,"When I was younger, I would go to school and play basketball or kickball during recess.","It's raining tomorrow, so I am going to dress for the occasion with boots, raincoat and umbrella.",yes
A1LB8HVSXK66U0,3TX9T2ZCB91F6JDSMKBY7V8NJV3ZWW,"When I was younger, I would go to school and learn all sorts of things.","It's raining tomorrow, so I'm going to stay inside.",yes
A1LSI693NIAOY9,35F6NGNVM8J4US3S8KE4TR8P5997TP,"When I was younger, I would go to school and play with my friends","It's raining tomorrow, so I take leave",yes
A1LZWU72K42V92,3R868ACW4SCJ9XNS7F7GLSMZP8EGZH,"When I was younger, I would go to school and learn and eat lunch.","It's raining tomorrow, so I will stay home.",yes
A1M24593XO5Z3C,324N5FAHSXB72ZE1W93SYE1W8EPKVO,"When I was younger, I would go to school and go to softball practice right after.","It's raining tomorrow, so we should have a lazy day and watch movies.",yes
A1M24593XO5Z3C,389A2A304OI9Q01X1ZY5P2YYABT0CU,"When I was younger, I would go to school and learn about history.","It's raining tomorrow, so I will spend the day inside.",yes
A1MM8TSLCHVMNK,3GKAWYFRAPTMJ9BVIG86O9HO2HRDPJ,"When I was younger, I would go to school and play with my friends during recess.","It's raining tomorrow, so I will make sure to pack my umbrella.",yes
A1MMLN9XGYXF7M,3KTZHH2ONIF4HBIR9S5YLD9SNN98M7,"When I was younger, I would go to school and i play happily","It's raining tomorrow, so i won't go anywhere",yes
A1MWYO3RFZW051,3I6NF2WGIGWL2J330R00WOF4PBW5GU,"When I was younger, I would go to school and face my studies","It's raining tomorrow, so the weather will be so cold",yes
A1N16ZU0FNQEY6,3HEA4ZVWVDMNMMEJJVH9SROFY0S55H,"When I was younger, I would go to school and learn how to do math problems","It's raining tomorrow, so I will be sure to pack an umbrella",yes
A1N7BQTP2HR0QN,3K3IX1W4S6ROL28JY6H4Y89IHEUAPE,"When I was younger, I would go to school and i am older in going to collage","It's raining tomorrow, so school is leave",no
A1N8TKTLXV92QR,391JB9X4ZY8OCCKSIH21BIIJHLDMK9,"When I was younger, I would go to school and play on the playground.","It's raining tomorrow, so be sure to bring an umbrella.",yes
A1NDMFN9A5G25G,356TQKY9XFXLW8B45M392VC2RWO871,"When I was younger, I would go to school and get in to lots of trouble.","It's raining tomorrow, so please bring your umbrella.",yes
A1NGABF082HR2P,3VW0145YLYCT1SEA0W2PA3I62WDMJA,"When I was younger, I would go to school and come home at the end of the day.","It's raining tomorrow, so I will not be taking the trip after all.",yes
A1NLW5ZS2WQR35,3XU9MCX6VOCKSCTUYJSEXLQZ7AG2RM,"When I was younger, I would go to school and play with my friends at recess.","It's raining tomorrow, so I won't be doing any yard work.",yes
A1NP83KZYINWBB,39KV3A5D1873FSQDJK9EJMC33QVS7L,"When I was younger, I would go to school and preform wrestling moves on people.","It's raining tomorrow, so I will stay inside.",yes
A1NRWXWPCAXDYP,3CO05SML7V5DW2QGJWO0EXXKACW0R0,"When I was younger, I would go to school and try my best to learn.","It's raining tomorrow, so I will plan to bring an umbrella.",yes
A1NYZD2C0A6TLL,3RWO3EJELH9SREVJ2NOBN7GFDKOP15,"When I was younger, I would go to school and  good","It's raining tomorrow, so much",no
A1O57XVTTB1PNZ,36QZ6V1589D5D329WS2PTEQNB1TUSQ,"When I was younger, I would go to school and couldn't wait to see my friends and play at break time.","It's raining tomorrow, so I plan to wear a warm sweater and hooded jacket.",yes
A1ODA3Q5H6HTDQ,3TRB893CSJA0PNHMOKFXU8T0FF17GG,"When I was younger, I would go to school and play outside with my friends.","It's raining tomorrow, so I need to remember an umbrella.",yes
A1OM5NWYYYJKQW,3VGET1QSZ0ZWM97M3PJFGBFOA5GW7Y,"When I was younger, I would go to school and lose my lunch bag.","It's raining tomorrow, so I will take the fireplace ashes out",yes
A1OQIXAU1SEJ4P,3N5YJ55YXG3OIHW6IR4CUJ4NHZTANI,"When I was younger, I would go to school and play on the playground.","It's raining tomorrow, so I have to take an umbrella.",yes
A1OW27AZS122X2,3538U0YQ1FUCA4K4BO6PZ6H8A053F3,"When I was younger, I would go to school and learned how to play guitar.","It's raining tomorrow, so I will stay home.",yes
A1OW27AZS122X2,3X4Q1O9UBHMOH0YKC3S5ZH2261S7O3,"When I was younger, I would go to school and improved my math skills.","It's raining tomorrow, so I will stay at home.",yes
A1P0XSCJ9XAV74,302U8RURJZ18A5Z4TMV8Q6I03BJVNY,"When I was younger, I would go to school and play on the slide.","It's raining tomorrow, so I can't go swimming.",yes
A1P47Q6LZPLQ6P,3IKDQS3DQE0KXVID5PNBV6YUV3KCI6,"When I was younger, I would go to school and learned my multiplication tables.","It's raining tomorrow, so I will take my umbrella.",yes
A1P6OXEJ86HQRM,3CVBMEMMXBGEPJCX8QXFF851UFE7HF,"When I was younger, I would go to school and pay attention in class.","It's raining tomorrow, so I will not be going to the baseball game.",yes
A1PF01FF85HUY4,3E24UO25QZQ5D0KFTTNDT326CSXO6F,"When I was younger, I would go to school and study all day long.","It's raining tomorrow, so I better pack an umbrella.",yes
A1PJLZSOUQ4MIL,3P7QK0GJ3TLTU3FL80MRJOSYGRZ2ZF,"When I was younger, I would go to school and count the hours until school was over.","It's raining tomorrow, so I hope I can find my umbrella.",yes
A1PM5PFLOT46GN,34XASH8KLQMPN3H8V9797Z4IBVJMPA,"When I was younger, I would go to school and improve my knowledge.","It's raining tomorrow, so i was take leave.",no
